"","date","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"1",2018-12-31,337.790009,339.209991,325.26001,332.799988,6302300,332.799988
"2",2019-01-02,306.100006,315.130005,298.799988,310.119995,11658600,310.119995
"3",2019-01-03,307,309.399994,297.380005,300.359985,6965200,300.359985
"4",2019-01-04,306,318,302.730011,317.690002,7394100,317.690002
"5",2019-01-07,321.720001,336.73999,317.75,334.959991,7551200,334.959991
"6",2019-01-08,341.959991,344.01001,327.019989,335.350006,7008500,335.350006
"7",2019-01-09,335.5,343.5,331.470001,338.529999,5432900,338.529999
"8",2019-01-10,334.399994,345.390015,331.790009,344.970001,6056400,344.970001
"9",2019-01-11,342.089996,348.410004,338.769989,347.26001,5039100,347.26001
"10",2019-01-14,342.380005,342.5,334,334.399994,5247300,334.399994
"11",2019-01-15,335,348.799988,334.5,344.429993,6056600,344.429993
"12",2019-01-16,344.779999,352,343.5,346.049988,4691700,346.049988
"13",2019-01-17,346.209991,351.5,344.149994,347.309998,3676700,347.309998
"14",2019-01-18,323,327.130005,299.730011,302.26001,24150800,302.26001
"15",2019-01-22,304.820007,308,295.5,298.920013,12066700,298.920013
"16",2019-01-23,292.5,294.5,281.690002,287.589996,12530000,287.589996
"17",2019-01-24,283.029999,293.679993,279.279999,291.51001,8012200,291.51001
"18",2019-01-25,294.390015,298.519989,289.549988,297.040009,7249600,297.040009
"19",2019-01-28,292.910004,297.459991,287.75,296.380005,6423300,296.380005
"20",2019-01-29,295.269989,298.559998,291.799988,297.459991,4621700,297.459991
"21",2019-01-30,300.450012,309,298.48999,308.769989,11250300,308.769989
"22",2019-01-31,301,311.559998,294,307.019989,12569200,307.019989
"23",2019-02-01,305.420013,316.100006,303.5,312.209991,7283400,312.209991
"24",2019-02-04,312.980011,315.299988,301.880005,312.890015,7352100,312.890015
"25",2019-02-05,312.48999,322.440002,312.25,321.350006,6742800,321.350006
"26",2019-02-06,319.589996,324.23999,315.619995,317.220001,5038500,317.220001
"27",2019-02-07,313.299988,314.700012,303,307.51001,6520600,307.51001
"28",2019-02-08,306.829987,307.450012,298.5,305.799988,5844200,305.799988
"29",2019-02-11,311.600006,318.600006,310.5,312.839996,7129700,312.839996
"30",2019-02-12,316.200012,318.190002,309.619995,311.809998,5517600,311.809998
"31",2019-02-13,312.350006,312.75,305.570007,308.170013,5141600,308.170013
"32",2019-02-14,303.380005,306.769989,301,303.769989,5200800,303.769989
"33",2019-02-15,304.5,308,303.899994,307.880005,3904900,307.880005
"34",2019-02-19,306.559998,311.540009,305.470001,305.640015,4168400,305.640015
